"city","county","state",fips
"chugiak","anchorage municipality","AK",2020
"chugwater","platte","WY",56031
"chula","tift","GA",13277
"chula","livingston","MO",29117
"chula vista","san diego","CA",NULL
"chunchula","mobile","AL",1097
"chunky","newton","MS",28101
"church creek","dorchester","MD",24019
"church hill","queen anne's","MD",24021
"church hill","hawkins","TN",47073
"church point","acadia parish","LA",22001
"church road","dinwiddie","VA",51053
"church rock","mckinley","NM",35031
"church view","middlesex","VA",51119
"churchs ferry","ramsey","ND",38071
"churchton","anne arundel","MD",24003
"churchville","harford","MD",24025
"churchville","monroe","NY",36055
"churchville","augusta","VA",51015
"churdan","greene","IA",19073
"churubusco","whitley","IN",18183
"churubusco","clinton","NY",36019
"chuuk","nan","FM",64003
"ciales","ciales","PR",72039
"cibecue","navajo","AZ",4017
"cibola","la paz","AZ",NULL
"cibolo","guadalupe","TX",48029
"cicero","cook","IL",NULL
"cicero","hamilton","IN",18057
"cicero","onondaga","NY",36067
"cidra","cidra","PR",NULL
"cima","san bernardino","CA",6071
"cimarron","gunnison","CO",8085
"cimarron","gray","KS",20069
"cimarron","colfax","NM",35007
"cincinnati","appanoose","IA",19007
"cincinnati","hamilton","OH",39061
"cincinnatus","cortland","NY",36023
"cinebar","lewis","WA",53041
"circle","yukon-koyukuk census area","AK",2290
"circle","mccone","MT",30055
"circle pines","anoka","MN",27003
"circleville","jackson","KS",20085
"circleville","orange","NY",36071
"circleville","pickaway","OH",39129
"circleville","piute","UT",49031
"circleville","pendleton","WV",54071
"cisco","murray","GA",13213
"cisco","piatt","IL",17147
"cisco","eastland","TX",48059
"cisco","grand","UT",49019
"cisne","wayne","IL",17191
"cissna park","iroquois","IL",17075
"citra","marion","FL",NULL
"citronelle","mobile","AL",1097
"citrus heights","sacramento","CA",6067
"city of industry","los angeles","CA",NULL
"clackamas","clackamas","OR",41005
"claflin","barton","KS",20009
"claiborne","talbot","MD",24041
"claire city","roberts","SD",46109
"clairfield","claiborne","TN",47025
"clairton","allegheny","PA",42003
"clallam bay","clallam","WA",53009
"clam gulch","kenai peninsula borough","AK",2122
"clam lake","ashland","WI",55003
"clancy","jefferson","MT",30043
"clanton","chilton","AL",1021
"clara","wayne","MS",28153
"clara city","chippewa","MN",27023
"clarcona","orange","FL",12095
"clare","webster","IA",19187
"clare","dekalb","IL",17037
"clare","clare","MI",26035
"claremont","los angeles","CA",6037
"claremont","richland","IL",17159
"claremont","dodge","MN",27039
"claremont","catawba","NC",37035
"claremont","sullivan","NH",33019
"claremont","brown","SD",46013
"claremont","surry","VA",51181
"claremore","rogers","OK",40131
"clarence","cedar","IA",19031
"clarence","natchitoches parish","LA",22069
"clarence","shelby","MO",29205
"clarence","erie","NY",36029
"clarence","centre","PA",42027
"clarence center","erie","NY",36029
"clarendon","monroe","AR",5095
"clarendon","columbus","NC",37047
"clarendon","orleans","NY",36073
"clarendon","warren","PA",42123
"clarendon","donley","TX",48129
"clarendon hills","dupage","IL",17043
"claridge","westmoreland","PA",42129
"clarinda","page","IA",19145
"clarington","monroe","OH",39111
"clarington","jefferson","PA",42053
"clarion","wright","IA",19197
"clarion","clarion","PA",42031
"clarissa","todd","MN",27153
"clarita","coal","OK",40029
"clark","routt","CO",8107
"clark","randolph","MO",29175
"clark","union","NJ",34039
"clark","mercer","PA",42085
"clark","clark","SD",46025
"clark fork","bonner","ID",16017
"clark mills","oneida","NY",36065
"clarkdale","yavapai","AZ",4025
"clarkdale","cobb","GA",NULL
"clarkedale","crittenden","AR",5035
"clarkesville","habersham","GA",13137
"clarkfield","yellow medicine","MN",27173
"clarkia","shoshone","ID",16079
"clarklake","jackson","MI",26075
"clarkrange","fentress","TN",47049
"clarkridge","baxter","AR",5005
"clarks","caldwell parish","LA",22021
"clarks","merrick","NE",31121
"clarks grove","freeborn","MN",27047
"clarks hill","tippecanoe","IN",18157
"clarks hill","mccormick","SC",45065
"clarks mills","mercer","PA",42085
"clarks point","dillingham census area","AK",2070
"clarks summit","lackawanna","PA",42069
"clarksboro","gloucester","NJ",34015
"clarksburg","yolo","CA",6113
"clarksburg","decatur","IN",18031
"clarksburg","montgomery","MD",24031
"clarksburg","moniteau","MO",29135
"clarksburg","ross","OH",39141
"clarksburg","indiana","PA",42063
"clarksburg","carroll","TN",47017
"clarksburg","harrison","WV",54033
"clarksdale","dekalb","MO",29063
"clarksdale","coahoma","MS",28027
"clarkson","grayson","KY",21085
"clarkson","colfax","NE",31037
"clarkson","monroe","NY",36055
"clarkston","dekalb","GA",13089
"clarkston","oakland","MI",NULL
"clarkston","cache","UT",49005
"clarkston","asotin","WA",53003
"clarksville","johnson","AR",5071
"clarksville","calhoun","FL",12013
"clarksville","butler","IA",19023
"clarksville","clark","IN",NULL
"clarksville","howard","MD",24027
"clarksville","ionia","MI",26067
"clarksville","pike","MO",29163
"clarksville","albany","NY",36001
"clarksville","clinton","OH",39027
"clarksville","greene","PA",42059
"clarksville","montgomery","TN",47125
"clarksville","red river","TX",48387
"clarksville","mecklenburg","VA",51117
"clarkton","dunklin","MO",29069
"clarkton","bladen","NC",37017
"claryville","ulster","NY",36105
"clatonia","gage","NE",31067
"clatskanie","columbia","OR",41009
"claude","armstrong","TX",48011
"claudville","patrick","VA",51141
"claunch","lincoln","NM",35053
"claverack","columbia","NY",36021
"clawson","oakland","MI",26125
"clawson","emery","UT",49015
"claxton","evans","GA",13109
"clay","jefferson","AL",1073
"clay","webster","KY",21225
"clay","onondaga","NY",36067
"clay","clay","WV",54015
"clay center","clay","KS",20027
"clay center","clay","NE",31035
"clay center","ottawa","OH",39123
"clay city","clay","IL",17025
"clay city","clay","IN",18021
"clay city","powell","KY",21197
"clay springs","navajo","AZ",4017
"clayhole","breathitt","KY",21025
"claymont","new castle","DE",10003
"claypool","gila","AZ",4007
"claypool","kosciusko","IN",18085
"claysburg","blair","PA",42013
"claysville","washington","PA",42125
"clayton","barbour","AL",1005
"clayton","contra costa","CA",6013
"clayton","kent","DE",10001
"clayton","rabun","GA",13241
"clayton","custer","ID",16037
"clayton","adams","IL",17001
"clayton","hendricks","IN",18063
"clayton","norton","KS",20137
"clayton","concordia parish","LA",22029
"clayton","lenawee","MI",26091
"clayton","johnston","NC",37101
"clayton","gloucester","NJ",34015
"clayton","union","NM",35059
"clayton","jefferson","NY",36045
"clayton","montgomery","OH",39113
"clayton","pushmataha","OK",40127
"clayton","panola","TX",48365
"clayton","stevens","WA",53065
"clayton","polk","WI",55095
"clayton lake","aroostook","ME",23003
"claytonville","iroquois","IL",17075
"clayville","oneida","NY",36065
"clayville","providence","RI",44007
"cle elum","kittitas","WA",53037
"clear","denali borough","AK",2290
"clear brook","frederick","VA",51069
"clear creek","monroe","IN",18105
"clear creek","raleigh","WV",54081
"clear fork","wyoming","WV",54109
"clear lake","cerro gordo","IA",19033
"clear lake","sherburne","MN",27141
"clear lake","deuel","SD",46039
"clear lake","polk","WI",55095
"clear spring","washington","MD",24043
"clearbrook","clearwater","MN",27029
"clearfield","taylor","IA",19173
"clearfield","rowan","KY",21205
"clearfield","clearfield","PA",42033
"clearfield","davis","UT",49011
"clearlake","lake","CA",6033
"clearlake","skagit","WA",53057
"clearlake oaks","lake","CA",6033
"clearlake park","lake","CA",6033
"clearmont","nodaway","MO",29147
"clearmont","sheridan","WY",56033
"clearview city","johnson","KS",20091
"clearville","bedford","PA",42009
"clearwater","pinellas","FL",NULL
"clearwater","sedgwick","KS",20173
"clearwater","wright","MN",27171
"clearwater","antelope","NE",31003
"clearwater","aiken","SC",45003
"clearwater beach","pinellas","FL",NULL
"cleaton","muhlenberg","KY",21177
"cleburne","johnson","TX",48251
"cleghorn","cherokee","IA",19035
"clementon","camden","NJ",34007
"clements","san joaquin","CA",6077
"clements","st. mary's","MD",24037
"clements","redwood","MN",27127
"clemmons","forsyth","NC",37067
"clemons","marshall","IA",19127
"clemons","washington","NY",36115
"clemson","pickens","SC",45077
"clendenin","kanawha","WV",54039
"cleo springs","major","OK",40093
"clermont","lake","FL",NULL
"clermont","hall","GA",13139
"clermont","fayette","IA",19065
"clermont","bullitt","KY",21029
"cleveland","blount","AL",1009
"cleveland","conway","AR",5029
"cleveland","white","GA",13311
"cleveland","le sueur","MN",27079
"cleveland","cass","MO",29037
"cleveland","bolivar","MS",28011
"cleveland","rowan","NC",37159
"cleveland","stutsman","ND",38093
"cleveland","mora","NM",35033
"cleveland","oswego","NY",36075
"cleveland","cuyahoga","OH",39035
"cleveland","pawnee","OK",40117
"cleveland","greenville","SC",45045
"cleveland","bradley","TN",47011
"cleveland","san jacinto","TX",48291
"cleveland","emery","UT",49015
"cleveland","russell","VA",51167
"cleveland","manitowoc","WI",55071
"cleveland","webster","WV",54101
"clever","christian","MO",29043
"cleverdale","warren","NY",36113
"cleves","hamilton","OH",39061
"clewiston","hendry","FL",12051
"cliff","grant","NM",35017
"cliff island","cumberland","ME",23005
"clifford","bartholomew","IN",18005
"clifford","lapeer","MI",26087
"clifford","traill","ND",38097
"clifford","susquehanna","PA",42115
"clifford","amherst","VA",51009
"cliffside","rutherford","NC",37161
"cliffside park","bergen","NJ",34003
"cliffwood","monmouth","NJ",34025
"clifton","greenlee","AZ",4011
"clifton","mesa","CO",8077
"clifton","franklin","ID",16041
"clifton","iroquois","IL",17075
"clifton","washington","KS",20201
"clifton","passaic","NJ",34031
"clifton","greene","OH",39057
"clifton","spartanburg","SC",45083
"clifton","wayne","TN",47181
"clifton","bosque","TX",48035
"clifton","fairfax","VA",NULL
"clifton forge","alleghany","VA",51005
"clifton heights","delaware","PA",42045
"clifton hill","randolph","MO",29175
"clifton park","saratoga","NY",36091
"clifton springs","ontario","NY",36069
"clifty","todd","KY",21219
"climax","lake","CO",8065
"climax","decatur","GA",NULL
"climax","kalamazoo","MI",26077
"climax","polk","MN",27119
"climax","randolph","NC",37081
"climax","greene","NY",36039
"climax springs","camden","MO",29029
"climbing hill","woodbury","IA",19193
"clinchco","dickenson","VA",51051
"clinchfield","houston","GA",13153
"clines corners","torrance","NM",35057
"clint","el paso","TX",48141
"clinton","greene","AL",1063
"clinton","van buren","AR",5141
"clinton","middlesex","CT",9007
"clinton","clinton","IA",19045
"clinton","de witt","IL",17039
"clinton","vermillion","IN",18165
"clinton","hickman","KY",21105
"clinton","east feliciana parish","LA",22037
"clinton","worcester","MA",25027
"clinton","prince george's","MD",24033
"clinton","kennebec","ME",23011
"clinton","lenawee","MI",26091
"clinton","big stone","MN",27011
"clinton","henry","MO",29083
"clinton","hinds","MS",28049
"clinton","missoula","MT",30063
"clinton","sampson","NC",37163
"clinton","hunterdon","NJ",34019
"clinton","oneida","NY",36065
"clinton","summit","OH",39153
"clinton","custer","OK",40039
"clinton","beaver","PA",42003
"clinton","laurens","SC",45059
"clinton","anderson","TN",47001
"clinton","island","WA",53029
"clinton","rock","WI",55105
"clinton corners","dutchess","NY",36027
"clinton township","macomb","MI",26125
"clintondale","ulster","NY",36111
"clintonville","venango","PA",42121
"clintonville","waupaca","WI",55135
"clintwood","dickenson","VA",51051
"clio","barbour","AL",1005
"clio","plumas","CA",6063
"clio","wayne","IA",19185
"clio","genesee","MI",26049
"clio","marlboro","SC",45069
"clipper mills","butte","CA",6007
"clitherall","otter tail","MN",27111
"clive","polk","IA",NULL
"clockville","madison","NY",36053
"clontarf","swift","MN",27151
"clopton","henry","AL",1045
"cloquet","carlton","MN",27017
"closplint","harlan","KY",21095
"closter","bergen","NJ",34003
"clothier","logan","WV",54005
"cloudcroft","otero","NM",35035
"cloutierville","natchitoches parish","LA",22069
"clover","york","SC",45091
"clover","halifax","VA",51083
"cloverdale","lauderdale","AL",1077
"cloverdale","sonoma","CA",6097
"cloverdale","putnam","IN",18133
"cloverdale","barry","MI",26015
"cloverdale","putnam","OH",39137
"cloverdale","tillamook","OR",41057
"cloverdale","botetourt","VA",51023
"cloverport","breckinridge","KY",21027
"clovis","fresno","CA",6019
"clovis","curry","NM",35009
"clubb","wayne","MO",29223
"clune","indiana","PA",42063
"cluster springs","halifax","VA",51083
"clute","brazoria","TX",48039
"clutier","tama","IA",19171
"clyde","cloud","KS",20029
"clyde","nodaway","MO",29147
"clyde","haywood","NC",37087
"clyde","wayne","NY",36117
"clyde","sandusky","OH",39143
"clyde","callahan","TX",48059
"clyde park","park","MT",30067
"clyman","dodge","WI",55027
"clymer","chautauqua","NY",36013
"clymer","indiana","PA",42063
"clyo","effingham","GA",13103
"coachella","riverside","CA",6065
"coahoma","coahoma","MS",28119
"coahoma","howard","TX",48227
"coal center","washington","PA",42125
"coal city","grundy","IL",17063
"coal city","owen","IN",18119
"coal city","raleigh","WV",54081
"coal creek","fremont","CO",8043
"coal hill","johnson","AR",5071
"coal mountain","wyoming","WV",54109
"coal run","washington","OH",39167
"coal township","northumberland","PA",42097
"coal valley","rock island","IL",17161
"coaldale","fremont","CO",8043
"coaldale","schuylkill","PA",42107
"coalfield","morgan","TN",47129
"coalgate","coal","OK",40029
"coalgood","harlan","KY",21095
"coaling","tuscaloosa","AL",1125
"coalinga","fresno","CA",6019
"coalmont","jackson","CO",8057
"coalmont","clay","IN",18021
"coalmont","grundy","TN",47061
"coalport","clearfield","PA",42033
"coalton","jackson","OH",39079
"coalton","randolph","WV",54083
"coalville","summit","UT",49043
"coamo","coamo","PR",NULL
"coarsegold","madera","CA",6039
"coatesville","putnam","IN",18063
"coatesville","chester","PA",42029
"coats","pratt","KS",20151
"coats","harnett","NC",37085
"coatsburg","adams","IL",17001
"coatsville","schuyler","MO",29197
"cobalt","middlesex","CT",9007
"cobalt","lemhi","ID",NULL
"cobb","lake","CA",6033
"cobb","sumter","GA",13261
"cobb","iowa","WI",55049
"cobb island","charles","MD",24017
"cobbs creek","mathews","VA",51115
"cobbtown","tattnall","GA",13043
"cobden","union","IL",17181
"cobleskill","schoharie","NY",36095
"coburn","centre","PA",42027
"cochecton","sullivan","NY",36105
"cochecton center","sullivan","NY",36105
"cochise","cochise","AZ",4003
"cochiti lake","sandoval","NM",NULL
"cochiti pueblo","sandoval","NM",NULL
"cochran","bleckley","GA",13023
"cochrane","buffalo","WI",55011
"cochranton","crawford","PA",42039
"cochranville","chester","PA",42029
"cockeysville","baltimore","MD",24005
"cocoa","brevard","FL",12009
"cocoa beach","brevard","FL",12009
"cocolalla","bonner","ID",16017
"cocolamus","juniata","PA",42067
"coconut creek","broward","FL",NULL
"coden","mobile","AL",1097
"codorus","york","PA",42133
"cody","cherry","NE",31031
"cody","park","WY",56029
"coeburn","wise","VA",51195
"coello","franklin","IL",17055
"coeur d alene","kootenai","ID",16055
"coeymans","albany","NY",36001
"coeymans hollow","albany","NY",36001
"coffee creek","fergus","MT",30027
"coffee springs","geneva","AL",1061
"coffeen","montgomery","IL",17135
"coffeeville","clarke","AL",1025
"coffeeville","yalobusha","MS",28161
"coffey","daviess","MO",29061
"coffeyville","montgomery","KS",20125
"coffman cove","prince of wales-hyder census area","AK",NULL
"cofield","hertford","NC",37091
"cogan station","lycoming","PA",42081
"coggon","linn","IA",19113
"cogswell","sargent","ND",38081
"cohagen","garfield","MT",30033
"cohasset","norfolk","MA",25021
"cohasset","itasca","MN",27061
"cohoctah","livingston","MI",26093
"cohocton","steuben","NY",36101
"cohoes","albany","NY",36001
"cohutta","whitfield","GA",13313
"coila","carroll","MS",28015
"coin","page","IA",19145
"coinjock","currituck","NC",37053
"cokato","wright","MN",27171
"cokeburg","washington","PA",42125
"coker","tuscaloosa","AL",1125
"coker creek","monroe","TN",47123
"cokeville","lincoln","WY",56023
"colbert","madison","GA",13195
"colbert","bryan","OK",40013
"colbert","spokane","WA",53063
"colburn","bonner","ID",16017
"colby","thomas","KS",20193
"colby","clark","WI",55073
"colchester","new london","CT",9011
"colchester","mcdonough","IL",17109
"colchester","chittenden","VT",50007
"colcord","delaware","OK",40041
"colcord","raleigh","WV",54081
"cold bay","aleutians east borough","AK",2010
"cold brook","herkimer","NY",36043
"cold spring","stearns","MN",27145
"cold spring","putnam","NY",36079
"cold spring harbor","suffolk","NY",36103
"colden","erie","NY",36029
"coldiron","harlan","KY",21095
"coldspring","san jacinto","TX",48407
"coldwater","comanche","KS",20033
"coldwater","branch","MI",26023
"coldwater","tate","MS",28137
"coldwater","mercer","OH",39107
"cole camp","benton","MO",29015
"colebrook","litchfield","CT",9005
"colebrook","coos","NH",33007
"coleharbor","mclean","ND",38055
"coleman","sumter","FL",12119
"coleman","randolph","GA",NULL
"coleman","midland","MI",26111
"coleman","johnston","OK",40069
"coleman","coleman","TX",48083
"coleman","marinette","WI",55075
"coleman falls","bedford","VA",51019
"colerain","bertie","NC",37015
"colerain","belmont","OH",39013
"coleraine","itasca","MN",27061
"coleridge","cedar","NE",31027
"coles point","westmoreland","VA",51193
"colesburg","delaware","IA",19055
"coleville","mono","CA",6051
"colfax","placer","CA",6061
"colfax","jasper","IA",19099
"colfax","mclean","IL",17113
"colfax","clinton","IN",18023
"colfax","grant parish","LA",22043
"colfax","guilford","NC",37081
"colfax","richland","ND",38077
"colfax","whitman","WA",53075
"colfax","dunn","WI",55033
"colfax","marion","WV",54049
"colgate","washington","WI",55131
"collbran","mesa","CO",8077
"college corner","preble","OH",39017
"college grove","williamson","TN",47149
"college park","prince george's","MD",24033
"college place","walla walla","WA",53071
"college point","queens","NY",36081
"college springs","page","IA",19145
"college station","pulaski","AR",5119
"college station","brazos","TX",48041
"collegedale","hamilton","TN",47065
"collegeport","matagorda","TX",48321
"collegeville","stearns","MN",27145
"collegeville","montgomery","PA",42091
"collettsville","caldwell","NC",37027
"colleyville","tarrant","TX",48439
"colliers","brooke","WV",54009
"colliersville","otsego","NY",36077
"collierville","shelby","TN",47157
"collingswood","camden","NJ",34007
"collins","tattnall","GA",13267
"collins","story","IA",19169
"collins","st. clair","MO",29185
"collins","covington","MS",28031
"collins","erie","NY",36029
"collins","huron","OH",39077
"collins","manitowoc","WI",55071
"collins center","erie","NY",36029
"collinston","morehouse parish","LA",22067
"collinston","box elder","UT",49003
"collinsville","dekalb","AL",1019
"collinsville","hartford","CT",9003
"collinsville","madison","IL",17119
"collinsville","lauderdale","MS",28075
"collinsville","butler","OH",39017
"collinsville","tulsa","OK",40143
"collinsville","grayson","TX",48181
"collinsville","henry","VA",51089
"collinwood","wayne","TN",47181
"collison","vermilion","IL",17183
"collyer","trego","KS",20195
"colman","moody","SD",46101
"colmar","montgomery","PA",42091
"colmesneil","tyler","TX",48457
"colo","story","IA",19169
"cologne","carver","MN",27019
"cologne","atlantic","NJ",34001
"coloma","el dorado","CA",6017
"coloma","berrien","MI",26021
"coloma","waushara","WI",55137
"colome","tripp","SD",46123
"colon","st. joseph","MI",26149
"colon","saunders","NE",31155
"colona","henry","IL",17073
"colonia","middlesex","NJ",34023
"colonial beach","westmoreland","VA",51193
"colonial heights","colonial heights city","VA",51570
"colony","anderson","KS",20003
"colony","washita","OK",40149
"colora","cecil","MD",24015
"colorado city","mohave","AZ",4015
"colorado city","pueblo","CO",8101
"colorado city","mitchell","TX",48335
"colorado springs","el paso","CO",8041
"colp","williamson","IL",17199
"colquitt","miller","GA",NULL
"colrain","franklin","MA",25011
"colstrip","rosebud","MT",30087
"colt","st. francis","AR",5123
"colton","san bernardino","CA",6071
"colton","st. lawrence","NY",36089
"colton","henry","OH",39069
"colton","clackamas","OR",41005
"colton","minnehaha","SD",46099
"colton","whitman","WA",53075
"coltons point","st. mary's","MD",24037
"colts neck","monmouth","NJ",34025
"columbia","houston","AL",1069
"columbia","tuolumne","CA",6109
"columbia","tolland","CT",9013
"columbia","marion","IA",19125
"columbia","monroe","IL",17133
"columbia","adair","KY",21001
"columbia","caldwell parish","LA",22021
"columbia","howard","MD",24027
"columbia","boone","MO",29019
"columbia","marion","MS",28091
"columbia","tyrrell","NC",37177
"columbia","warren","NJ",34041
"columbia","lancaster","PA",42071
"columbia","richland","SC",45079
"columbia","brown","SD",46013
"columbia","maury","TN",47119
"columbia","goochland","VA",51065
"columbia city","whitley","IN",18183
"columbia city","columbia","OR",41009
"columbia cross roads","bradford","PA",42015
"columbia falls","washington","ME",23029
"columbia falls","flathead","MT",30029
"columbia station","lorain","OH",39093
"columbiana","shelby","AL",1117
"columbiana","columbiana","OH",39029
"columbiaville","lapeer","MI",26087
"columbiaville","columbia","NY",36021
"columbus","hempstead","AR",5057
"columbus","muscogee","GA",13215
"columbus","bartholomew","IN",18005
"columbus","cherokee","KS",20021
"columbus","hickman","KY",21105
"columbus","st. clair","MI",26125
"columbus","lowndes","MS",28087
"columbus","stillwater","MT",30095
"columbus","polk","NC",37149
"columbus","burke","ND",38013
"columbus","platte","NE",31141
"columbus","burlington","NJ",34005
"columbus","luna","NM",35029
"columbus","franklin","OH",39049
"columbus","warren","PA",42123
"columbus","colorado","TX",48089
"columbus","columbia","WI",55021
"columbus city","louisa","IA",19115
"columbus grove","putnam","OH",39137
"columbus junction","louisa","IA",19115
"colusa","colusa","CA",6011
"colusa","hancock","IL",17067
"colver","cambria","PA",42021
"colville","stevens","WA",53065
"colwell","floyd","IA",19067
"colwich","sedgwick","KS",20173
"comanche","stephens","OK",40137
"comanche","comanche","TX",48093
"combes","cameron","TX",48061
"combined locks","outagamie","WI",55087
"combs","madison","AR",5087
"combs","perry","KY",21193
"comer","madison","GA",13195
"comerio","comerío","PR",NULL
"comfort","jones","NC",37103
"comfort","kendall","TX",48259
"comfort","boone","WV",54005
"comfrey","brown","MN",27015
"comins","oscoda","MI",26135
"commack","suffolk","NY",36103
"commerce","jackson","GA",13157
"commerce","scott","MO",29201
"commerce","ottawa","OK",40115
"commerce","hunt","TX",48231
"commerce city","adams","CO",8001
"commerce township","oakland","MI",NULL
"commercial point","pickaway","OH",39129
"commiskey","jennings","IN",18079
"commodore","indiana","PA",42063
"como","park","CO",8093
"como","panola","MS",28107
"como","hertford","NC",37091
"como","henry","TN",47079
"como","hopkins","TX",48223
"comptche","mendocino","CA",6045
"compton","newton","AR",5101
"compton","los angeles","CA",6037
"compton","lee","IL",17103
"compton","st. mary's","MD",24037
"comstock","kalamazoo","MI",26077
"comstock","clay","MN",27027
"comstock","custer","NE",31041
"comstock","washington","NY",36115
"comstock","val verde","TX",48465
"comstock","barron","WI",55005
"comstock park","kent","MI",26081
"conasauga","polk","TN",47139
"concan","uvalde","TX",48463
"concepcion","duval","TX",48131
"conception","nodaway","MO",29147
"conception junction","nodaway","MO",29147
"conchas dam","san miguel","NM",35047
"concho","apache","AZ",4001
"concho","canadian","OK",40017
"conconully","okanogan","WA",53047
"concord","cleburne","AR",5023
"concord","contra costa","CA",6013
"concord","pike","GA",13231
"concord","morgan","IL",17137
"concord","middlesex","MA",25017
"concord","jackson","MI",26075
"concord","cabarrus","NC",37025
"concord","dixon","NE",31051
"concord","merrimack","NH",33013
"concord","franklin","PA",42055
"concord","leon","TX",48289
"concord","campbell","VA",51011
"concord","essex","VT",50009
"concordia","cloud","KS",20029
"concordia","lafayette","MO",29107
"concordville","delaware","PA",42045
"concrete","skagit","WA",53057
"conda","caribou","ID",16029
"conde","spink","SD",46115
"condon","missoula","MT",30063
"condon","gilliam","OR",41021
"conehatta","newton","MS",28101
"conejos","conejos","CO",8021
"conestee","greenville","SC",45045
"conestoga","lancaster","PA",42071
"conesus","livingston","NY",36051
"conesville","muscatine","IA",19139
"conesville","coshocton","OH",39031
"conetoe","edgecombe","NC",37065
"conewango valley","cattaraugus","NY",36009
"confluence","somerset","PA",42111
"conger","freeborn","MN",27047
"congers","rockland","NY",36087
"congerville","woodford","IL",17203
"congress","yavapai","AZ",4025
"conifer","jefferson","CO",8059
"conklin","ottawa","MI",26139
"conklin","broome","NY",36007
"conley","clayton","GA",NULL
"conneaut","ashtabula","OH",39007
"conneaut lake","crawford","PA",42039
"conneautville","crawford","PA",42039
"connell","franklin","WA",53021
"connellsville","fayette","PA",42051
"connelly","ulster","NY",36111
"connellys springs","burke","NC",37023
"conner","ravalli","MT",30081
"connersville","fayette","IN",18041
"connerville","johnston","OK",40069
"connoquenessing","butler","PA",42019
"conover","catawba","NC",37035
"conover","champaign","OH",39109
"conover","vilas","WI",55125
"conowingo","cecil","MD",24015
"conrad","grundy","IA",19075
"conrad","pondera","MT",30073
"conrath","rusk","WI",55107
"conroe","montgomery","TX",48339
"conroy","iowa","IA",19095
"conshohocken","montgomery","PA",42091
"constable","franklin","NY",36033
"constableville","lewis","NY",36049
"constantia","oswego","NY",36075
"constantine","st. joseph","MI",26149
"continental","putnam","OH",39137
"continental divide","mckinley","NM",35031
"contoocook","merrimack","NH",33013
"convent","st. james parish","LA",22093
"convent station","morris","NJ",34027
"converse","miami","IN",18103
"converse","sabine parish","LA",22031
"converse","spartanburg","SC",45083
"converse","bexar","TX",48029
"convoy","van wert","OH",39161
"conway","faulkner","AR",5045
"conway","franklin","MA",25011
"conway","emmet","MI",26047
"conway","laclede","MO",29105
"conway","northampton","NC",37131
"conway","carroll","NH",33003
"conway","beaver","PA",42007
"conway","horry","SC",45051
"conway","skagit","WA",53057
"conway springs","sumner","KS",20191
"conyers","rockdale","GA",NULL
"conyngham","luzerne","PA",42079
"cook","st. louis","MN",27137
"cook","johnson","NE",31097
"cook springs","st. clair","AL",1115
"cook sta","crawford","MO",29055
"cooke city","park","MT",30067
"cookeville","putnam","TN",47141
"cooks","schoolcraft","MI",26153
"cooksburg","forest","PA",42053
"cookson","cherokee","OK",40021
"cookstown","burlington","NJ",34005
"cooksville","mclean","IL",17113
"cooksville","howard","MD",24027
"cookville","titus","TX",48449
"cool","el dorado","CA",6017
"cool ridge","raleigh","WV",54081
"cooleemee","davie","NC",37059
"coolidge","pinal","AZ",4021
"coolidge","thomas","GA",13275
"coolidge","hamilton","KS",20075
"coolidge","limestone","TX",48293
"coolin","bonner","ID",16017
"coolspring","jefferson","PA",42065
"coolville","athens","OH",39009
"coon rapids","carroll","IA",19027
"coon valley","vernon","WI",55123
"cooper","greene","IA",19073
"cooper","delta","TX",48119
"cooper landing","kenai peninsula borough","AK",2122
"coopers mills","lincoln","ME",23015
"coopers plains","steuben","NY",36101
"coopersburg","lehigh","PA",42077
"cooperstown","griggs","ND",38039
"cooperstown","otsego","NY",36077
"cooperstown","venango","PA",42121
"coopersville","ottawa","MI",26139
"coos bay","coos","OR",41011
"coosa","floyd","GA",13115
"coosada","elmore","AL",1051
"coosawhatchie","jasper","SC",45053
"cooter","pemiscot","MO",29155
"copake","columbia","NY",36021
"copake falls","columbia","NY",36003
"copalis beach","grays harbor","WA",53027
"copalis crossing","grays harbor","WA",53027
"copan","washington","OK",40147
"cope","washington","CO",8121
"cope","orangeburg","SC",45075
"copeland","collier","FL",NULL
"copeland","gray","KS",20069
"copemish","manistee","MI",26101
"copen","braxton","WV",54007
"copenhagen","lewis","NY",36049
"copeville","collin","TX",NULL
"copiague","suffolk","NY",36103
"coplay","lehigh","PA",42077
"coppell","dallas","TX",48113
"copper center","valdez-cordova census area","AK",2261
"copper city","houghton","MI",26061
"copper harbor","keweenaw","MI",26083
"copper hill","floyd","VA",51063
"copperas cove","coryell","TX",48099
"copperhill","polk","TN",47139
"copperopolis","calaveras","CA",6009
"coquille","coos","OR",41011
"cora","logan","WV",54045
"cora","sublette","WY",56035
"coral","montcalm","MI",26117
"coral","indiana","PA",42063
"coral gables","miami-dade","FL",12025
"coral springs","broward","FL",12011
"coralville","johnson","IA",19103
"coram","flathead","MT",30029
"coram","suffolk","NY",36103
"coraopolis","allegheny","PA",42003
"corapeake","gates","NC",37073
"corbett","multnomah","OR",41051
"corbettsville","broome","NY",36007
"corbin","whitley","KY",21235
"corbin","caroline","VA",51033
"corcoran","kings","CA",6107
"cord","independence","AR",5063
"cordele","crisp","GA",13081
"cordell","washita","OK",40149
"corder","lafayette","MO",29107
"cordesville","berkeley","SC",45015
